bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen,verh_frei_belegt,Anteil ueber 65-Jaehrigen
9,9775,2,5,5,2,9,13,19.12.21 12:15,13,9,"7,33333333333333",20
9,9776,2,5,1,2,2,10,19.12.21 12:15,10,2,4,23
9,9777,3,6,3,3,1,14,19.12.21 12:15,14,1,5,21
9,9778,2,5,0,2,4,12,19.12.21 12:15,12,4,"5,33333333333333",21
9,9779,3,10,7,3,3,22,19.12.21 12:15,22,3,"8,33333333333333",20
9,9780,2,10,4,2,0,14,19.12.21 12:15,14,0,"4,66666666666667",23
10,10041,9,42,17,7,20,155,19.12.21 12:15,145,14,53,23
10,10042,1,3,0,1,2,10,19.12.21 12:15,10,2,4,23
10,10043,4,3,2,2,9,27,19.12.21 12:15,20,6,"8,66666666666667",25
10,10044,4,8,7,3,20,40,19.12.21 12:15,37,10,"15,6666666666667",24
10,10045,4,16,11,2,29,130,19.12.21 12:15,118,25,"47,6666666666667",25
10,10046,1,2,1,1,0,14,19.12.21 12:15,14,0,"4,66666666666667",25
11,11000,66,210,150,41,125,1003,19.12.21 12:15,910,113,341,19
12,12051,4,12,4,3,15,52,19.12.21 12:15,45,6,17,28
